,"Ward","Pincode","Address","Unnamed: 0"," Area","State","Number","Region","Area_Tag","Latitude","Longitude","BMC_Ward"
70,"D ",400008,"DelhiDarbarHotel,PBMarg,GrantRoad,GrantRd",8,"Kamathipura","Maharashtra",16,"Mumbai","Mumbai",18.6291,72.8919,
71,"D ",400008,"KailashApartment,JbbRd,DalalEstate,MumbaiCentral",8,"Kamathipura","Maharashtra",16,"Mumbai","Mumbai",18.6291,72.8919,
72,"D ",400008,"KamarBuilding,KKMarg,OppNavjivanSociety,Kamathipura",8,"Kamathipura","Maharashtra",16,"Mumbai","Mumbai",18.6291,72.8919,
73,"D ",400008,"LokhanwalaChawl,ArabLane,GrantRoad",8,"Kamathipura","Maharashtra",16,"Mumbai","Mumbai",18.6291,72.8919,
74,"D ",400008,"MangliKanduriChawl,RSNimkarMarg,GrantRoad",8,"Kamathipura","Maharashtra",16,"Mumbai","Mumbai",18.6291,72.8919,
75,"D ",400008,"NoorManzil,6ThKumbharwada,ChorBazar,Kamathipura",8,"Kamathipura","Maharashtra",16,"Mumbai","Mumbai",18.6291,72.8919,
76,"D ",400008,"SothFaceChawl,SouthFaceChawl,RsNimkarMarg,FarasRd,Kamatipura",8,"Kamathipura","Maharashtra",16,"Mumbai","Mumbai",18.6291,72.8919,
77,"D ",400009,"BatliwalaCompound,BaptyRoad,FaujiyaHospital,GrantRoad",9,"Noor Baug","Maharashtra",16,"Mumbai",,18.6291,72.8919,
78,"D ",400026,"AshaNagarZopadapatti,NepeanSeaRoad,PriyadarshaniPark,NepeanSeaRoad",83,"Cumballa Sea Face","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8,
79,"D ",400026,"BWing,NalandaBuilding,NalandaBuilding,PeddarRoad,JaslokHospital,PeddarRoad",83,"Cumballa Sea Face","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8,
80,"D ",400026,"CasaKhorakiwalaBunglow,VakilLane,DrGDMarg,RusianCulturalCentralLane,PedderRoad",83,"Cumballa Sea Face","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8,
81,"D ",400026,"ShyamNiwasBuilding,BhulabaiDesaiRoad,BreachCandyHospital,CumballaHil",83,"Cumballa Sea Face","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8,
82,"D ",400026,"VallabhApartment,BhulabaiDesaiRoad,BreachCandyHospital,CumballaHill",83,"Cumballa Sea Face","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8,
83,"D ",400034,"BuildingNo-11,TransitCampBuilding,BhanjibhaiRathodMarg,Tulsiwadi,MumbaiCentral",111,"Tulsiwadi","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.85,
84,"D ",400034,"DWing,JantaNagarBuilding,JantaNagar,JDMarg,Tardeo",111,"Tulsiwadi","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.85,
85,"D ",400034,"DmdJhopadpatti,TardeoRd,Tulsiwadi,Tardeo",111,"Tulsiwadi","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.85,
86,"D ",400034,"DmgZopadpatti,TulsiwadiZopadpatti,BhanjibhaiRathodMarg,MataMandir,Tardeo",111,"Tulsiwadi","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.85,
87,"D ",400034,"MilanBuilding,TardeoRd,AcMarket,Tardeo",111,"Tulsiwadi","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.85,
88,"E ",400011,"BmcChawlNo1,Kamthipura,9ThGulli,Kamthipura,Byculla",45,"Agripada","Maharashtra",16,"Mumbai","Mumbai",18.9833,72.8333,
89,"E ",400011,"MerchantBuilding,BadluRangariStreet,AshaDhan,Byculla",45,"Agripada","Maharashtra",16,"Mumbai","Mumbai",18.9833,72.8333,
90,"E ",400012,"AWing,ChawlNo4,KhusnumaApartment/BitChawl,MARoad/MSAnsariMarg,Kalapani,Agripada",54,"Parel Rly Work Shop","Maharashtra",16,"Mumbai",,19,72.8333,
91,"E ",400012,"BuildingNo22,BitChawl,MadhavraoGanganMarg,NearFancyMarket,Agripada",54,"Parel Rly Work Shop","Maharashtra",16,"Mumbai",,19,72.8333,
92,"E ",400012,"Building,NesbitHall,NesbitRoad,OppSbi,Mazgaon",54,"Parel Rly Work Shop","Maharashtra",16,"Mumbai",,19,72.8333,
93,"E ",400012,"Chawl1,666Tenament,BJMarg,JocobCircle,Byculla",54,"Parel Rly Work Shop","Maharashtra",16,"Mumbai",,19,72.8333,
94,"E ",400012,"Chawl42,HawabaiChawl,NMJoshiMarg,ArthurRoadNaka,Chinchpokli",54,"Parel Rly Work Shop","Maharashtra",16,"Mumbai",,19,72.8333,
95,"E ",400012,"ChawlNo14,TransistCamp,TankPakadiStreet,Mominpura",54,"Parel Rly Work Shop","Maharashtra",16,"Mumbai",,19,72.8333,
96,"E ",400012,"ChawlNo21,22,Kamathipura7ThLaneChawlNo21,Kamathipura7ThLane,Kamathipura",54,"Parel Rly Work Shop","Maharashtra",16,"Mumbai",,19,72.8333,
97,"E ",400012,"Chawl,KasamHathiChawl,Kamathipura1StLane,Kamathipura",54,"Parel Rly Work Shop","Maharashtra",16,"Mumbai",,19,72.8333,
98,"E ",400012,"NayeeChawl,3RdGhelabhaiLane,Mandapura",54,"Parel Rly Work Shop","Maharashtra",16,"Mumbai",,19,72.8333,
99,"E ",400012,"SanaHeight,BarkatAliViraniMarg,Nagpada",54,"Parel Rly Work Shop","Maharashtra",16,"Mumbai",,19,72.8333,
100,"E ",400013,"Building,BycullaPoliceLineQuarters,HansrajLane,BycullaPoliceStation,BycullaEast",56,"Delisle Road","Maharashtra",16,"Mumbai","Mumbai",18.9448,72.8524,
101,"E ",400013,"Building,FireBrigadeOffice,Byculla,ShaikhHafizuddinMarg,BehindBmcEWardOffice,Byculla",56,"Delisle Road","Maharashtra",16,"Mumbai","Mumbai",18.9448,72.8524,
102,"E ",400013,"Building,MustafaManzil,PeerkhanStreet,OppBmcSchool,Nagpada",56,"Delisle Road","Maharashtra",16,"Mumbai","Mumbai",18.9448,72.8524,
103,"E ",400013,"Building,NirmalPark,EWing,DrBARoad,VikkyHotel,BycullaEast",56,"Delisle Road","Maharashtra",16,"Mumbai","Mumbai",18.9448,72.8524,
104,"E ",400013,"Building,PeerBhaiMension,MorlandRoad,SaharaMedicalStoreHalimManjil,Byculla",56,"Delisle Road","Maharashtra",16,"Mumbai","Mumbai",18.9448,72.8524,
105,"E ",400013,"ChawlNo1,BitChawlAgripada,MejhrajSethiMarg,JhulaMaidan,Byculla",56,"Delisle Road","Maharashtra",16,"Mumbai","Mumbai",18.9448,72.8524,
106,"E ",400013,"Chawl,Bldg21/23,7ThGully,Kamthipura,Byculla",56,"Delisle Road","Maharashtra",16,"Mumbai","Mumbai",18.9448,72.8524,
107,"E ",400013,"IslamiaHousingSociety,NavrojMinar,ClareRoad,SaintAgnesHighSchool,Byculla",56,"Delisle Road","Maharashtra",16,"Mumbai","Mumbai",18.9448,72.8524,
108,"E ",400013,"Slum,LakdiBandervmotorLineDaruKhana,MotorLineDaruKhana,UdipiHotel,Mazgaon",56,"Delisle Road","Maharashtra",16,"Mumbai","Mumbai",18.9448,72.8524,
109,"E ",400014,"BismillaArcade,SankhaliStree,HudaMasjid,Byculla",57,"Naigaon (Mumbai)","Maharashtra",16,"Mumbai","Mumbai",19.0201,72.8381,
110,"E ",400014,"Chawl,RasulJivaCompound,RasulJivaCompound,KkRoad7ThRasta,JacobCircle,Byculla",57,"Naigaon (Mumbai)","Maharashtra",16,"Mumbai","Mumbai",19.0201,72.8381,
111,"E ",400014,"PatraChawl,PatraChawl,BJMarg,Byculla",57,"Naigaon (Mumbai)","Maharashtra",16,"Mumbai","Mumbai",19.0201,72.8381,
112,"E ",400015,"BBlock,BmcBldg,ChandramaniBuddhviharMarg,TwoTank,Kamathipura",60,"Sewri","Maharashtra",16,"Mumbai","Mumbai",19,72.85,
113,"E ",400015,"Building,BmcBldgNo5,BJMarg,Kanjarwada,Byculla",60,"Sewri","Maharashtra",16,"Mumbai","Mumbai",19,72.85,
114,"E ",400015,"Building,HusainiMansion,ShirinManzil,StMerryRoad,Tadwadi,Mazgaon",60,"Sewri","Maharashtra",16,"Mumbai","Mumbai",19,72.85,
115,"E ",400015,"Building,ShakkarwalaBldg,BabanGully,SankhaliStreet,Madanpura,Agripada",60,"Sewri","Maharashtra",16,"Mumbai","Mumbai",19,72.85,
116,"E ",400015,"Building,ShirinbhaiChawl,MorlandRoad,MumbaiCentral",60,"Sewri","Maharashtra",16,"Mumbai","Mumbai",19,72.85,
117,"E ",400015,"KermaniBuilding(AnandEstate),NMJoshiMarg,ArthurRoadNaka,Chinchpokli",60,"Sewri","Maharashtra",16,"Mumbai","Mumbai",19,72.85,
118,"E ",400015,"PrabhatBuilding,RBChandorkarMarg,AgripadaPoliceStaion,Agripada",60,"Sewri","Maharashtra",16,"Mumbai","Mumbai",19,72.85,
119,"E ",400015,"Slum,SanjayGandhiNagar,JJMarg,RailwayCompound,Mazgaon",60,"Sewri","Maharashtra",16,"Mumbai","Mumbai",19,72.85,
120,"E ",400015,"Tulsiwadi,TulsiwadiChawl,GunpowderRoad,Mazgaon",60,"Sewri","Maharashtra",16,"Mumbai","Mumbai",19,72.85,
121,"E ",400018,"109AcharwalaBuilding,UndriyaStreetNagpada,Nagpada,Byculla",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
122,"E ",400018,"BageRabbaniAppartment,AWing,MegrajSethiMarg,BadliwalaCharitableDispensary,Byculla",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
123,"E ",400018,"BageUsmanHeights,SheikhHafizuddinMarg,BehindEWard,Byculla",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
124,"E ",400018,"Bambkhana,MARoad,Kamathipura(EyeHospital),Kamathipura",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
125,"E ",400018,"Building,2Nd&4ThLane,Kamathipura,Kamathipura",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
126,"E ",400018,"Building,ArhamTowerChinchpokli,DattaramLadMarg,ChintamaniGanpatiUtsav,Chinchpokli",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
127,"E ",400018,"Building,BelvedarHillMazgaon,ShivdasChapsiMarg,NextStPeterSchool,Mazgaon",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
128,"E ",400018,"Building,DagdiChawal,BJMarg,DagadiChawl",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
129,"E ",400018,"ChavhanMension,TankPakadi,TankPakadiRoad,OppositeKhataoMill,Byculla",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
130,"E ",400018,"Chawl,AksaManzil,MARoadMadanpura,GhoshBazar,Byculla",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
131,"E ",400018,"Chawl,MarutiGully,NMJoshiMarg,BycullaStn,Buyculla",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
132,"E ",400018,"HerambDarashanBuilding,DpWadiRoad,KapreshwarMandir,Byculla",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
133,"E ",400025,"Building,5/DMhada,RamBhauBhogleMarg,BatliboyCompoundGround,Ghodapdeo",82,"New Prabhadevi Road","Maharashtra",16,"Mumbai","Mumbai",19.0164,72.8294,
134,"E ",400025,"Building,DoodhWalaComplexNearBombayCentralBusDepotFWing,BelasisRoad,StDepot,Byculla",82,"New Prabhadevi Road","Maharashtra",16,"Mumbai","Mumbai",19.0164,72.8294,
135,"E ",400025,"Building,NayaNagarAWing,MARoad,BestQuarters,Byculla",82,"New Prabhadevi Road","Maharashtra",16,"Mumbai","Mumbai",19.0164,72.8294,
136,"E ",400031,"Building,AnwarshetKiChawl,BadluRangariStreet,SalvationArmy,Byculla",100,"Wadala","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.85,
137,"E ",400031,"Building,HussainPatelMarg,MunnaSethCompound,BelvederRoad,BhandarTekdi,Mazgaon",100,"Wadala","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.85,
138,"E ",400031,"Chawl1,PanchKhateChawl,BJMarg,Byculla",100,"Wadala","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.85,
139,"E ",400031,"Chawl1,TransitCamp,TankPakhadiStreet,Kalapani,Mominpura",100,"Wadala","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.85,
140,"E ",400033,"KarimBuilding,3RdGhelabhaiLane,Madanpura",110,"L B S N E collage","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.85,
141,"E ",400033,"TakdeerNiwas,TakdeerNiwas,BrahmadevKhotMarg,Mazgaon",110,"L B S N E collage","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.85,
142,"FN",400011,"LalMati,KismatNagar,Wadala",45,"Agripada","Maharashtra",16,"Mumbai","Mumbai",18.9833,72.8333,
143,"FN",400011,"SaiBabaMandir,VijayNagar,AntopHill,WadalaC/OPandit(RentedHouse),WadalaEast",45,"Agripada","Maharashtra",16,"Mumbai","Mumbai",18.9833,72.8333,
144,"FN",400013,"BhaiyasahebNagar,90FeetRoad,BarkatAliNaka,Wadala,BarkatAliNaka,WadalaEast",56,"Delisle Road","Maharashtra",16,"Mumbai","Mumbai",18.9448,72.8524,
145,"FN",400013,"BharatiyaKamalaNagar,SPRoad,NearKarbalaMsjid,AntopHill,WadalaEast,SPRoad,WadalaEast",56,"Delisle Road","Maharashtra",16,"Mumbai","Mumbai",18.9448,72.8524,
146,"FN",400013,"KrushnaKunj,PlotNo100,BARoad,OppManavsevaSangh,BARoad,SionEast",56,"Delisle Road","Maharashtra",16,"Mumbai","Mumbai",18.9448,72.8524,
147,"FN",400013,"SangamNagar,SPRoad,AntopHill,WadalaEast,SPRoad,WadalaEast",56,"Delisle Road","Maharashtra",16,"Mumbai","Mumbai",18.9448,72.8524,
148,"FN",400018,"BldgNo9,PunjabiCamp,NearHariMandir,SionKoliwada",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
149,"FN",400018,"Bpt44No,MbptNewColony,Wadala(E)",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
150,"FN",400018,"RajeShivajiVidyalayCanteen,ShivajiSchoolCanteen,HinduColony,IesRajeShivajiVidyalayCanteen,Dadar",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
151,"FN",400018,"SainathHotel,NrFishMarket,Wadala(W)",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
152,"FN",400018,"ShyamalBuilding,LotlikarLane,Matunga",68,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
153,"FN",400025,"AWing,Bhangiri,ManakikarMarg,NrChunabhattiPhatak,ChunabhattiWest",82,"New Prabhadevi Road","Maharashtra",16,"Mumbai","Mumbai",19.0164,72.8294,
154,"FN",400025,"DostiBlossom,DostiBlossom,AntopHill,WadalaE",82,"New Prabhadevi Road","Maharashtra",16,"Mumbai","Mumbai",19.0164,72.8294,
155,"FN",400025,"HimmatNagarSpRoadNearMadinaMasjidWadalaEastMumbai37,SpRoad,WadalaEast",82,"New Prabhadevi Road","Maharashtra",16,"Mumbai","Mumbai",19.0164,72.8294,
156,"FN",400025,"JainSociety,RoodNo18,ManharNiwas,SionWest",82,"New Prabhadevi Road","Maharashtra",16,"Mumbai","Mumbai",19.0164,72.8294,
157,"FN",400025,"ShivajiNagarCHS,BhauDajiRd,SionWest",82,"New Prabhadevi Road","Maharashtra",16,"Mumbai","Mumbai",19.0164,72.8294,
158,"FN",400025,"SiddharthNagarKorabaMithagar,Wadala",82,"New Prabhadevi Road","Maharashtra",16,"Mumbai","Mumbai",19.0164,72.8294,
159,"FN",400025,"SushrushaBldg,MbptHospital,Wadala(E)",82,"New Prabhadevi Road","Maharashtra",16,"Mumbai","Mumbai",19.0164,72.8294,
